,Country_Region,Population Density (per sq. km),HDI,Total Testing,hospibed,pop,Age Dependency Ratio (65+/Working Age),Physician_per_thousand,Lockdown Date
11248,South Africa,47.63011978,0.6990000000000001,6438.0,2.8,59308690.0,8.138314696719151,0.9101,26/03/2020
11322,Spain,93.52905826,0.8909999999999999,30000.0,3.0,46754778.0,29.504459393164503,4.7128,14/03/2020
11396,Sri Lanka,345.558922,0.77,,3.6,21413249.0,15.274350662213099,1.0869,21/03/2020
11470,Sudan,,0.502,,0.8,43849260.0,6.37806571635288,0.41,
11544,Suriname,3.69225,0.72,,3.1,586632.0,10.4049738017671,1.2265,
11618,Sweden,25.00104343,0.9329999999999999,14300.0,2.6,10099265.0,31.986428037615298,5.3996,
11692,Switzerland,215.5213784,0.9440000000000001,4000.0,4.7,8654622.0,27.644500917740302,4.2363,18/03/2020
11766,Syria,92.06710777,0.536,,1.5,17390388.0,7.352557106041111,1.544,14/03/2020
11840,Taiwan*,,,21376.0,10.4,23816775.0,16.6,1.33,02/02/2020
11914,Tanzania,63.57907879999999,0.5379999999999999,,0.7,59734218.0,5.979614559003741,0.055,
11988,Thailand,135.89720680000002,0.755,7084.0,2.1,69799978.0,15.948996906884402,0.8096,22/03/2020
12062,Timor-Leste,85.27047747,0.625,,5.9,1318445.0,,0.7197,
12136,Togo,145.0467733,0.503,,0.8,8278724.0,5.107070867420769,0.2022,20/03/2020
12210,Trinidad and Tobago,270.92748539999997,0.784,,3.0,1399488.0,14.4454523712444,2.6697,13/03/2020
12284,Tunisia,74.44132338,0.735,,2.3,11818619.0,11.768415830156,1.3307,20/03/2020
12358,Turkey,106.96012890000002,0.7909999999999999,2900.0,2.7,84339067.0,12.187895582583598,1.7651,23/03/2020
12432,Uganda,213.06173450000003,0.516,,0.5,45741007.0,4.326100628535601,0.1177,18/03/2020
12506,Ukraine,77.02966735,0.7509999999999999,316.0,8.8,43733762.0,24.1923998359245,4.407,17/03/2020
12580,United Arab Emirates,135.6091101,0.863,125000.0,1.2,9890402.0,1.34626095109496,2.3944,24/03/2020
12654,United Kingdom,274.82739219999996,0.922,64621.0,2.8,67886011.0,29.0367909095512,2.8058,18/03/2020
12728,Uruguay,19.70802765,0.804,,2.8,3473730.0,22.796753484613,5.0499,16/03/2020
12802,US,35.76608858,0.924,141591.0,2.9,327200000.0,23.46961267658,2.9401,19/03/2020
12876,Uzbekistan,77.46920545,0.71,,4.0,33469203.0,6.61602286403768,3.425,20/03/2020
12950,Venezuela,32.73079191,0.7609999999999999,,0.8,28435940.0,10.053506504395902,1.94,16/03/2020
13024,Vietnam,308.1252459,0.6940000000000001,15637.0,2.6,97338579.0,10.2448105030181,1.18,19/03/2020
13098,West Bank and Gaza,758.9845515,,,,,,0.8370000000000001,05/03/2020
13172,Zambia,23.3414789,0.588,,2.0,18383955.0,4.7019049143446905,0.1632,
13246,Zimbabwe,37.32459093,0.535,,1.7,14862924.0,5.041525810072679,0.20199999999999999,27/03/2020
