,Country_Region,Population Density (per sq. km),HDI,hospibed,Age Dependency Ratio (65+/Working Age),Physician_per_thousand
141,Trinidad and Tobago,270.9274854,0.784,3.0,14.4454523712444,2.6697
142,Tunisia,74.44132338,0.735,2.3,11.768415830156,1.3307
143,Turkey,106.96012890000002,0.7909999999999999,2.7,12.187895582583597,1.7651
144,Uganda,213.06173450000003,0.516,0.5,4.326100628535601,0.1177
145,Ukraine,77.02966735,0.7509999999999999,8.8,24.1923998359245,4.407
146,United Arab Emirates,135.6091101,0.863,1.2,1.34626095109496,2.3944
147,United Kingdom,274.8273922,0.922,2.8,29.0367909095512,2.8058
148,Uruguay,19.70802765,0.804,2.8,22.796753484613,5.0499
149,US,35.76608858,0.924,2.9,23.46961267658,2.9401
150,Uzbekistan,77.46920545,0.71,4.0,6.61602286403768,3.425
151,Venezuela,32.73079191,0.7609999999999999,0.8,10.053506504395902,1.94
152,Vietnam,308.1252459,0.6940000000000001,2.6,10.2448105030181,1.18
153,Zambia,23.3414789,0.588,2.0,4.7019049143446905,0.1632
154,Zimbabwe,37.32459093,0.535,1.7,5.041525810072679,0.202
